bairro;idhm_2000;idhm_2010;idhm_logi_2000;idhm_logi_2010;idhm_educ_2000;idhm_educ_2010;renda_2000;renda_2010;;
AGRONOMIA;0,607;0,707;0,783;0,812;0,451;0,606;533,187;729,132;;
ANCHIETA;0,637;0,736;0,805;0,852;0,462;0,629;600,32;818,43;;
ARQUIPELAGO;0,523;0,65;0,725;0,78;0,326;0,526;365,128;543,705;;
AUXILIADORA;0,866;0,947;0,884;0,935;0,776;0,917;2916,92;3792,29;;
AZENHA;0,813;0,753;0,863;0,85;0,73;0,645;1603,68;1342,025;;
BELA VISTA;0,924;0,958;0,898;0,952;0,879;0,924;4822,42;7216,42;;
BELEM NOVO;0,593;0,73;0,769;0,811;0,43;0,618;523,2;1624,229;;
BELEM VELHO;0,607;0,71;0,783;0,845;0,448;0,595;505,9;724,04;;
BOA VISTA;0,862;0,921;0,873;0,93;0,825;0,884;2202,62;3294,235;;
BOM FIM;0,897;0,94;0,881;0,932;0,879;0,908;2657,68;3591,85;;
BOM JESUS;0,707;0,791;0,837;0,895;0,567;0,75;958,017;1342,231;;
CAMAQUA;0,656;0,755;0,82;0,865;0,513;0,672;678,42;979,964;;
CAMPO NOVO;0,644;0,694;0,822;0,821;0,459;0,572;656,3;695,45;;
CASCATA;0,607;0,7;0,752;0,812;0,414;0,557;517,136;735,729;;
CAVALHADA;0,65;0,75;0,81;0,863;0,511;0,645;702,705;940,53;;
CEL APARICIO BORGES;0,667;0,761;0,83;0,87;0,513;0,701;746,598;982,923;;
CENTRO HISTORICO;0,884;0,914;0,879;0,921;0,85;0,891;2505,59;2632,73;;
CHACARA DAS PEDRAS;0,903;0,958;0,888;0,944;0,87;0,932;3005,64;4403,05;;
CHAPEU DO SOL;0,495;0,645;0,717;0,774;0,289;0,523;320,22;494,38;;
CIDADE BAIXA;0,875;0,932;0,877;0,919;0,843;0,947;2242,88;2586,31;;
CRISTAL;0,685;0,765;0,803;0,845;0,497;0,638;1013,753;1349,728;;
CRISTO REDENTOR;0,852;0,868;0,867;0,917;0,825;0,791;1726,89;2202,5;;
ESPIRITO SANTO;0,815;0,883;0,865;0,918;0,766;0,83;1659,088;2360,693;;
