bairro;idhm_2000;idhm_2010;idhm_logi_2000;idhm_logi_2010;idhm_educ_2000;idhm_educ_2010;renda_2000;renda_2010;;;;;;;;;;;;
AGRONOMIA;0,614975536;0,716883115;0,780355623;0,824375335;0,447928321;0,623448216;638,73;1280,1;;;;;;;;;;;;
ANCHIETA;0,637;0,736;0,805;0,852;0,462;0,629;742,92;1269,9;;;;;;;;;;;;
ARQUIPELAGO;0,555862598;0,666123649;0,745720472;0,8026012;0,371413911;0,537870228;475,65;1035,3;;;;;;;;;;;;
AUXILIADORA;0,866;0,947;0,884;0,935;0,776;0,917;2997,35;4977,6;;;;;;;;;;;;
AZENHA;0,813;0,856376523;0,863;0,904628291;0,73;0,791416994;1736,5;2871,3;;;;;;;;;;;;
BELA VISTA;0,924;0,958;0,898;0,952;0,879;0,924;5201,95;8960,7;;;;;;;;;;;;
BELEM NOVO;0,644567797;0,736105918;0,803409605;0,843135982;0,4845;0,640281248;724,8;1790,1;;;;;;;;;;;;
BELEM VELHO;0,609845225;0,70685916;0,778926259;0,833460729;0,440712218;0,590488602;721,78;1178,1;;;;;;;;;;;;
BOA VISTA;0,895330189;0,9517248;0,885100437;0,9416256;0,86148838;0,9237744;4033,21;6109,8;;;;;;;;;;;;
BOM FIM;0,897;0,94;0,881;0,932;0,879;0,908;2302,75;3911,7;;;;;;;;;;;;
BOM JESUS;0,573978361;0,691249669;0,757407418;0,816099903;0,403052053;0,575731331;739,9;1382,1;;;;;;;;;;;;
CAMAQUA;0,729731578;0,805334386;0,824286843;0,886518925;0,637840204;0,726690416;1044,92;2101,2;;;;;;;;;;;;
CAMPO NOVO;0,644;0,726714737;0,822;0,849625395;0,459;0,609530882;712,72;1213,8;;;;;;;;;;;;
CASCATA;0,603236795;0,698575412;0,764192471;0,82289985;0,441523894;0,584141839;557,19;1111,8;;;;;;;;;;;;
CAVALHADA;0,724907253;0,799025102;0,830202866;0,884080372;0,608893463;0,725341229;1091,73;2004,3;;;;;;;;;;;;
CENTRO HISTORICO;0,884;0,914;0,879;0,921;0,85;0,891;1931,29;3279,3;;;;;;;;;;;;
CHACARA DAS PEDRAS;0,903;0,958;0,888;0,944;0,87;0,932;3248,01;6471,9;;;;;;;;;;;;
CHAPEU DO SUL;0,498808397;0,644686522;0,71748626;0,773437826;0,29481374;0,523059565;410,72;892,5;;;;;;;;;;;;
CIDADE BAIXA;0,875;0,932;0,877;0,919;0,843;0,947;1677,61;3014,1;;;;;;;;;;;;
CEL APARICIO BORGES;0,62300629;0,715378072;0,787646116;0,824905853;0,450958464;0,617867669;741,41;1315,8;;;;;;;;;;;;
CRISTAL;0,750933633;0,824706627;0,831581901;0,887600991;0,653029308;0,752306533;1414,87;2682,6;;;;;;;;;;;;
CRISTO REDENTOR;0,852;0,868;0,867;0,917;0,825;0,791;1644,39;2901,9;;;;;;;;;;;;
ESPIRITO SANTO;0,822173875;0,895481448;0,865245902;0,919237781;0,747252006;0,846370496;1700,26;3248,7;;;;;;;;;;;;
FARRAPOS;0,553098825;0,674293795;0,75613302;0,808846571;0,366529965;0,551506584;1641,37;1035,3;;;;;;;;;;;;
FARROUPILHA;0,91;0,927;0,886;0,931;0,895;0,88;2627,4;4539;;;;;;;;;;;;
FLORESTA;0,836878962;0,867200373;0,864966568;0,908201306;0,778136627;0,80602922;1908,64;3039,6;;;;;;;;;;;;
