bairro;idhm_2000;idhm_2010;renda_2000;renda_2010;;
AGRONOMIA;0,63;0,72;493,05;623,38;;
ANCHIETA;0,64;0,74;600,32;818,43;;
ARQUIPELAGO;0,55;0,68;517,45;846,68;;
AUXILIADORA;0,87;0,95;2916,92;3792,29;;
AZENHA;0,81;0,88;1603,68;2152,15;;
BELA VISTA;0,92;0,96;4822,42;7216,42;;
BELEM NOVO;0,65;0,72;503,44;623,38;;
BELEM VELHO;0,54;0,65;498,14;727,98;;
BOA VISTA;0,9;0,96;3005,64;4403,05;;
BOM FIM;0,9;0,94;2657,68;3591,85;;
BOM JESUS;0,71;0,82;1792,36;2152,15;;
CAMAQUA;0,64;0,74;649,74;1012,04;;
CAMPO NOVO;0,64;0,73;656,3;846,68;;
CASCATA;0,58;0,65;503,44;727,98;;
CAVALHADA;0,78;0,85;1163,23;1451,48;;
CEL APARICIO BORGES;0,55;0,65;395,84;489,26;;
CENTRO HISTORICO;0,88;0,91;2505,59;2632,73;;
CHACARA DAS PEDRAS;0,9;0,96;3005,64;4403,05;;
CHAPEU DO SOL;0,45;0,64;271,37;499,5;;
CIDADE BAIXA;0,88;0,93;2242,88;2586,31;;
CRISTAL;0,74;0,81;2122,6;2910,87;;
CRISTO REDENTOR;0,85;0,87;1726,89;2202,5;;
ESPIRITO SANTO;0,73;0,82;2364,92;3591,85;;
FARRAPOS;0,45;0,61;1163,23;1515,14;;
FARROUPILHA;0,91;0,93;2932,18;3417,25;;
FLORESTA;0,84;0,88;1792,36;2152,15;;
GLORIA;0,82;0,85;1447,86;1669,56;;
GUARUJA;0,83;0,87;2932,18;3417,25;;
HIGIENOPOLIS;0,9;0,95;3170,66;3931,41;;
HIPICA;0,54;0,65;369,07;489,26;;
HUMAITA;0,54;0,65;369,07;489,26;;
INDEPENDENCIA;0,86;0,93;4168,82;7216,42;;
IPANEMA;0,86;0,91;2318,72;2910,87;;
JARDIM SAO PEDRO;0,84;0,87;1699,76;2028,95;;
JARDIM BOTANICO;0,84;0,91;1994,47;2910,87;;
JARDIM CARVALHO;0,51;0,65;737,7;899,92;;
JARDIM DO SALSO;0,81;0,89;2122,6;3591,85;;
JARDIM FLORESTA;0,67;0,74;981,57;1244,93;;
JARDIM ITU;0,71;0,82;837,05;1244,93;;
JARDIM LINDOIA;0,91;0,93;2932,18;3417,25;;
JARDIM SABARA;0,78;0,85;1163,23;1515,14;;
LAGEADO;0,63;0,68;527,06;610,25;;
LAMI;0,54;0,65;369,82;544,22;;
LOMBA DO PINHEIRO;0,62;0,71;498,14;727,62;;
MARIO QUINTANA;0,45;0,59;448,29;610,25;;
MEDIANEIRA;0,84;0,89;1699,76;2371,03;;
MENINO DEUS;0,9;0,93;2676,33;3264,67;;
MOINHOS DE VENTO;0,93;0,96;4641;7216,42;;
MONT SERRAT;0,9;0,96;3005,64;4403,05;;
MORRO SANTANA;0,7;0,76;1163,23;1451,48;;
NAVEGANTES;0,74;0,81;981,57;1220,08;;
NONOAI;0,78;0,85;1163,23;1515,14;;
PARTENON;0,5;0,62;1020,02;1220,08;;
PASSO DA AREIA;0,82;0,87;2932,18;3417,25;;
PASSO DAS PEDRAS;0,64;0,72;1097,2;1595,35;;
PETROPOLIS;0,91;0,95;837,05;1244,93;;
PONTA GROSSA;0,67;0,73;981,57;1220,08;;
PRAIA DE BELAS;0,91;0,93;2932,18;3417,25;;
RESTINGA;0,5;0,61;278,23;414,6;;
RIO BRANCO;0,91;0,95;4641;7216,42;;
RUBEM BERTA;0,71;0,82;736,22;899,92;;
SANTA CECILIA;0,86;0,94;2318,72;3591,85;;
SANTA MARIA GORETTI;0,8;0,85;1169,01;1515,14;;
SANTA TEREZA;0,74;0,81;981,57;1220,08;;
SANTANA;0,89;0,92;2619,6;2955,83;;
SANTO ANTONIO;0,84;0,89;1466,5;1883,02;;
SAO GERALDO;0,79;0,85;1288,41;1680,17;;
SAO JOAO;0,9;0,93;1425,58;2028,95;;
SAO SEBASTIAO;0,92;0,81;1447,86;2371,03;;
SARANDI;0,79;0,87;1288,41;2202,5;;
TERESOPOLIS;0,82;0,88;1399,6;2185,42;;
TRES FIGUEIRAS;0,92;0,96;4822,42;7216,42;;
TRISTEZA;0,86;0,93;2364,92;3371,41;;
VILA ASSUNCAO;0,9;0,95;3005,64;3931,41;;-
VILA CONCEICAO;0,9;0,95;3005,64;3931,41;;
VILA IPIRANGA;0,84;0,89;1466,5;1883,02;;
VILA JARDIM;0,8;0,85;837,8;1012,04;;
SAO JOSE;0,82;0,89;527,06;713,05;;
VILA JOAO PESSOA;0,74;0,81;527,06;662,53;;
