bairro;qtd_ativos_2000;qtd_ativos_2010
-              ;0;0
ABERTA DOS MORR;11;18
AGRONOMIA      ;9;18
ANCHIETA       ;43;139
ARQUIPELAGO    ;5;7
AUXILIADORA    ;29;103
AZENHA         ;104;281
BELA VISTA     ;7;18
BELEM NOVO     ;28;44
BELEM VELHO    ;5;20
BOA VISTA      ;7;41
BOA VISTA DO SU;5;6
BOM FIM        ;14;72
BOM JESUS      ;20;36
CAMAQUA        ;31;83
CAMPO NOVO     ;3;7
CASCATA        ;5;6
CAVALHADA      ;59;135
CEL AP BORGES  ;0;3
CENTRO HISTORIC;311;936
CHACARA PEDRAS ;13;30
CHAPEU DO SOL  ;1;3
CIDADE BAIXA   ;62;215
COSTA E SILVA  ;9;12
CRISTAL        ;32;104
CRISTO REDENTOR;63;125
ESPIRITO SANTO ;19;33
EXTREMA        ;1;1
FARRAPOS       ;10;30
FARROUPILHA    ;10;26
FLORESTA       ;79;204
GLORIA         ;45;81
GUARUJA        ;10;11
HIGIENOPOLIS   ;11;36
HIPICA         ;7;19
HUMAITA        ;28;71
INDEPENDENCIA  ;22;91
IPANEMA        ;72;154
JAR LEOPOLDINA ;40;60
JAR SAO PEDRO  ;11;38
JARDIM BOTANICO;29;78
JARDIM CARVALHO;16;30
JARDIM DO SALSO;6;19
JARDIM EUROPA  ;26;91
JARDIM FLORESTA;7;23
JARDIM ISABEL  ;1;6
JARDIM ITU     ;11;25
JARDIM LINDOIA ;30;55
JARDIM SABARA  ;16;36
LAGEADO        ;0;0
LAMI           ;6;7
LOMBA PINHEIRO ;12;34
MARIO QUINTANA ;8;16
MEDIANEIRA     ;18;63
MENINO DEUS    ;113;228
MOINHOS VENTO  ;64;200
MONT SERRAT    ;13;57
MORRO SANTANA  ;30;55
NAVEGANTES     ;51;163
NONOAI         ;32;59
PARQUE STA FE  ;10;17
PARTENON       ;74;221
PASSO DA AREIA ;61;147
PASSO DAS PEDRA;25;37
PEDRA REDONDA  ;11;14
PETROPOLIS     ;61;173
PITINGA        ;1;1
PONTA GROSSA   ;1;6
PRAIA DE BELAS ;20;58
RESTINGA       ;32;55
RIO BRANCO     ;43;123
RUBEM BERTA    ;19;31
SANTA CECILIA  ;23;46
SANTA M GORETTI;20;62
SANTA TEREZA   ;25;52
SANTANA        ;76;212
SANTO ANTONIO  ;20;47
SAO CAETANO    ;0;0
SAO GERALDO    ;99;274
SAO JOAO       ;65;149
SAO SEBASTIAO  ;25;64
SARANDI        ;163;336
SERRARIA       ;1;3
SETIMO CEU     ;0;2
STA ROSA LIMA  ;26;53
TERESOPOLIS    ;29;51
TRES FIGUEIRAS ;13;41
TRISTEZA       ;49;130
VILA ASSUNCAO  ;3;10
VILA CONCEICAO ;4;6
VILA IPIRANGA  ;38;84
VILA JARDIM    ;18;60
VILA NOVA      ;39;72
VILA SAO JOSE  ;31;50
VL JOAO PESSOA ;23;37
