atividade;ate_2000;ate_2010
BAR/CAFE/LANCHERIA;9;35
RESTAURANTE E PIZZARIA SEM FORNO A LENHA;4;33
AGENCIA DE VIAGENS E TURISMO;5;26
RESTAURANTE;18;18
BAZAR;4;17
BAR/CAFE;9;12
LANCHERIA;6;11
LOJA DE BEBIDAS;0;10
GALERIA DE ARTE;2;6
CAFETERIA;0;5
CYBER CAFE;0;5
ANIMACAO DE FESTAS;2;3
RESTAURANTE E PIZZARIA;1;3
DECORACAO DE FESTAS;1;2
ALIMENTOS NAO PERECIVEIS (VEDADO COMERCIALIZAR  PRDUTOS HORTIFRUTIGRANJEIROS);0;2
BAR-CHOPP;0;2
LOCACAO DE SALAS OU SALOES PARA EVENTOS, FESTAS E SIMILARES;0;2
CENTRO CULTURAL;1;1
HOSPITAL GERAL;1;1
SERVICO DE BUFFET;1;1
BEBIDAS E FUMO;0;1
CASA DE MASSAS OU RESTAURANTE COM PREDOMINANCIA DEPASTAS (MASSAS) E COM CONGELAMENTO;0;1
COMERCIO ATACADISTA DE BIJOUTERIAS;0;1
CONFEITARIA;0;1
LOJA DE ARTIGOS PARA EVENTOS FESTIVOS;0;1
ALIMENTOS PERECIVEIS (VEDADO COMERCIALIZAR PRODUTOHORTIFRUTIGRANJEIROS);0;0
BALAS E DOCES;0;0
BALOES;0;0
BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, COM ENTRETENIMENTO;0;0
BATATA FRITA;0;0
BEBIDAS;0;0
CACHORRO-QUENTE EM VEICULO AUTOMOTOR;0;0
CAFE;0;0
CASAS NOTURNAS;0;0
CINEMAS;0;0
CLUBE E LOCAL PRIVADO DE USO RECREATIVO OU ESPORTIVO DE CARATER LOCAL;0;0
CLUBE E SALOES EXCLUSIVOS PARA FESTAS DE CARATER FAMILIAR ( CASAMENTOS, ANIVERSARIOS, FESTAS INFANTIS );0;0
COMERCIO A VAREJO DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS NATURAIS E DIETETICOS;0;0
DOCES E SALGADINHOS INDUSTRIALIZADOS;0;0
ESTABELECIMENTO ESPECIALIZADO EM SERVIR CERVEJA,COM PRODUCAO EM PEQUENA ESCALA - BREWPUB;0;0
TEATRO;0;0
