bairro;estab_2000;hab_2000;estab_2010;hab_2010
AGRONOMIA;9;12431;18;13817
ANCHIETA;43;1281;139;582
ARQUIPELAGO;5;7619;7;8330
AUXILIADORA;29;9985;103;9683
AZENHA;104;10475;281;10180
BELA VISTA;7;10097;18;11128
BELEM NOVO;33;13787;50;15833
BELEM VELHO;5;8455;20;10835
BOA VISTA;7;9368;41;8750
BOM FIM;14;9368;72;9450
BOM JESUS;20;31215;36;28738
CAMAQUA;31;22009;83;19313
CAMPO NOVO;3;7404;7;6962
CASCATA;5;27301;6;22596
CAVALHADA;59;15403;135;13425
CEL APARICIO BORGES;0;14992;3;17494
CENTRO HISTORICO;311;36893;936;39154
CHACARA DAS PEDRAS;13;5924;30;6668
CHAPEU DO SOL;1;2620;3;2300
CIDADE BAIXA;62;18146;215;18450
CRISTAL;32;29943;104;27661
CRISTO REDENTOR;63;15505;125;15801
ESPIRITO SANTO;19;5734;33;5606
FARRAPOS;10;17083;30;18986
FARROUPILHA;10;1101;26;961
FLORESTA;79;15493;204;16085
GLORIA;45;8631;81;8855
GUARUJA;10;4390;11;5971
HIGIENOPOLIS;11;9096;36;10724
HIPICA;18;11786;37;20237
HUMAITA;28;10293;71;11404
INDEPENDENCIA;22;11327;91;10828
IPANEMA;73;20884;162;22726
JARDIM SAO PEDRO;11;5510;38;5290
JARDIM BOTANICO;29;11494;78;12521
JARDIM CARVALHO;16;25076;30;25323
JARDIM DO SALSO;6;3715;19;4405
JARDIM FLORESTA;7;4078;23;3499
JARDIM ITU;11;7569;25;8325
JARDIM LINDOIA;30;7932;55;8071
JARDIM SABARA;16;14785;36;13471
LAGEADO;1;6476;1;7885
LAMI;6;3493;7;4642
LOMBA DO PINHEIRO;12;42653;34;48498
MARIO QUINTANA;8;29066;16;37234
MEDIANEIRA;18;10663;63;9903
MENINO DEUS;113;30792;228;31650
MOINHOS DE VENTO;64;8067;200;7264
MONT SERRAT;13;10236;57;11236
MORRO SANTANA;30;19236;55;18852
NAVEGANTES;51;4160;163;4011
NONOAI;32;21826;59;20296
PARTENON;74;47750;221;45707
PASSO DA AREIA;61;20385;147;21364
PASSO DAS PEDRAS;25;24549;37;25896
PEDRA REDONDA;11;316;14;274
PETROPOLIS;61;34593;173;38155
PONTA GROSSA;1;3290;6;4213
PRAIA DE BELAS;20;1869;58;2117
RESTINGA;33;54993;56;60729
RIO BRANCO;43;16132;123;17531
RUBEM BERTA;78;68286;120;74522
SANTA CECILIA;23;5800;46;5768
SANTA MARIA GORETTI;20;3922;62;3320
SANTA TEREZA;25;59412;52;55505
SANTANA;76;25028;212;24638
SANTO ANTONIO;20;15003;47;13714
SAO GERALDO;99;9135;274;8706
SAO JOAO;65;18855;149;14544
SAO SEBASTIAO;25;6961;64;10164
SARANDI;189;90120;389;91366
SERRARIA;1;4682;3;4500
TERESOPOLIS;29;9837;51;12766
TRES FIGUEIRAS;13;3657;41;4070
TRISTEZA;49;14837;130;15396
VILA ASSUNCAO;3;4096;10;4418
VILA CONCEICAO;4;1467;6;1349
VILA IPIRANGA;64;20951;175;20958
VILA JARDIM;18;15361;60;12782
VILA NOVA;39;33390;72;38127
SAO JOSE;31;30406;50;30073
VILA JOAO PESSOA;23;12641;37;11935
