"bairro";"estab_2000";"hab_2000";"estab_2010";"hab_2010";"idhm_2000";"idhm_2010";"idhm_logi_2000";"idhm_logi_2010";"idhm_educ_2000";"idhm_educ_2010";"renda_2000";"renda_2010"
"AGRONOMIA";9;12431;18;13817;"0,593";"0,695";"0,774";"0,818";"0,404";"0,58";"638,73";"1280,1"
"ANCHIETA";43;1281;139;582;"0,6";"0,699";"0,779";"0,826";"0,413";"0,58";"742,92";"1269,9"
"ARQUIPELAGO";5;7619;7;8330;"0,553";"0,663";"0,744";"0,801";"0,367";"0,533";"475,65";"1035,3"
"AUXILIADORA";29;9985;103;9683;"0,866";"0,947";"0,884";"0,935";"0,777";"0,918";"2997,35";"4977,6"
"AZENHA";104;10475;281;10180;"0,841";"0,884";"0,871";"0,912";"0,784";"0,845";"1736,5";"2871,3"
"BELA VISTA";7;10097;18;11128;"0,924";"0,958";"0,897";"0,951";"0,88";"0,925";"5201,95";"8960,7"
"BELEM NOVO";33;13787;50;15833;"0,669";"0,761";"0,827";"0,866";"0,504";"0,66";"724,8";"1790,1"
"BELEM VELHO";5;8455;20;10835;"0,615";"0,712";"0,783";"0,838";"0,446";"0,596";"721,78";"1178,1"
"BOA VISTA";7;9368;41;8750;"0,892";"0,949";"0,884";"0,94";"0,856";"0,918";"4033,21";"6109,8"
"BOM FIM";14;9368;72;9450;"0,894";"0,938";"0,881";"0,932";"0,874";"0,903";"2302,75";"3911,7"
"BOM JESUS";20;31215;36;28738;"0,582";"0,699";"0,762";"0,821";"0,414";"0,586";"739,9";"1382,1"
"CAMAQUA";31;22009;83;19313;"0,728";"0,803";"0,822";"0,884";"0,635";"0,724";"1044,92";"2101,2"
"CAMPO NOVO";3;7404;7;6962;"0,661";"0,744";"0,829";"0,857";"0,49";"0,64";"712,72";"1213,8"
"CASCATA";5;27301;6;22596;"0,588";"0,684";"0,756";"0,814";"0,418";"0,56";"557,19";"1111,8"
"CAVALHADA";59;15403;135;13425;"0,722";"0,796";"0,827";"0,881";"0,599";"0,716";"1091,73";"2004,3"
"CEL APARICIO BORGES";0;14992;3;17494;"0,618";"0,71";"0,782";"0,819";"0,448";"0,614";"741,41";"1315,8"
"CENTRO HISTORICO";311;36893;936;39154;"0,884";"0,914";"0,879";"0,921";"0,851";"0,892";"1931,29";"3279,3"
"CHACARA DAS PEDRAS";13;5924;30;6668;"0,903";"0,958";"0,888";"0,944";"0,87";"0,932";"3248,01";"6471,9"
"CHAPEU DO SOL";1;2620;3;2300;NA;NA;NA;NA;NA;NA;NA;NA
"CIDADE BAIXA";62;18146;215;18450;"0,874";"0,931";"0,877";"0,919";"0,843";"0,947";"1677,61";"3014,1"
"CRISTAL";32;29943;104;27661;"0,725";"0,799";"0,816";"0,872";"0,618";"0,717";"1414,87";"2682,6"
"CRISTO REDENTOR";63;15505;125;15801;"0,854";"0,87";"0,867";"0,917";"0,828";"0,794";"1644,39";"2901,9"
"ESPIRITO SANTO";19;5734;33;5606;"0,818";"0,891";"0,864";"0,918";"0,742";"0,841";"1700,26";"3248,7"
"FARRAPOS";10;17083;30;18986;"0,564";"0,685";"0,763";"0,816";"0,38";"0,565";"1641,37";"1035,3"
"FARROUPILHA";10;1101;26;961;"0,91";"0,927";"0,886";"0,931";"0,895";"0,88";"2627,4";"4539"
"FLORESTA";79;15493;204;16085;"0,835";"0,866";"0,866";"0,909";"0,777";"0,805";"1908,64";"3039,6"
"GLORIA";45;8631;81;8855;"0,728";"0,769";"0,814";"0,863";"0,634";"0,682";"1579,46";"2397"
"GUARUJA";10;4390;11;5971;"0,746";"0,812";"0,823";"0,879";"0,654";"0,737";"1730,46";"2968,2"
"HIGIENOPOLIS";11;9096;36;10724;"0,898";"0,953";"0,889";"0,941";"0,849";"0,923";"2743,67";"5477,4"
"HIPICA";18;11786;37;20237;"0,701";"0,801";"0,819";"0,877";"0,582";"0,736";"854,66";"1657,5"
"HUMAITA";28;10293;71;11404;"0,738";"0,802";"0,832";"0,876";"0,636";"0,737";"996,6";"1989"
"INDEPENDENCIA";22;11327;91;10828;"0,904";"0,934";"0,886";"0,936";"0,87";"0,891";"3121,17";"5033,7"
"IPANEMA";73;20884;162;22726;"0,836";"0,897";"0,874";"0,92";"0,755";"0,843";"2307,28";"3330,3"
"JARDIM BOTANICO";29;11494;78;12521;"0,833";"0,897";"0,871";"0,922";"0,758";"0,834";"1908,64";"3799,5"
"JARDIM CARVALHO";16;25076;30;25323;"0,684";"0,77";"0,82";"0,864";"0,542";"0,684";"933,18";"1810,5"
"JARDIM DO SALSO";6;3715;19;4405;"0,839";"0,916";"0,87";"0,926";"0,775";"0,873";"2046,05";"3340,5"
"JARDIM FLORESTA";7;4078;23;3499;"0,725";"0,8";"0,84";"0,886";"0,597";"0,725";"925,63";"1754,4"
"JARDIM ITU";11;7569;25;8325;"0,773";"0,851";"0,843";"0,903";"0,7";"0,794";"1718,38";"3279,3"
"JARDIM LINDOIA";30;7932;55;8071;"0,91";"0,927";"0,886";"0,931";"0,895";"0,88";"3035,1";"4865,4"
"JARDIM SABARA";16;14785;36;13471;"0,777";"0,847";"0,849";"0,909";"0,689";"0,789";"1286,52";"2203,2"
"JARDIM SAO PEDRO";11;5510;38;5290;"0,816";"0,852";"0,856";"0,907";"0,755";"0,784";"1641,37";"2845,8"
"LAGEADO";1;6476;1;7885;"0,616";"0,702";"0,777";"0,825";"0,452";"0,587";"569,27";"1208,7"
"LAMI";6;3493;7;4642;"0,579";"0,689";"0,759";"0,806";"0,398";"0,582";"656,85";"1096,5"
"LOMBA DO PINHEIRO";12;42653;34;48498;"0,583";"0,679";"0,751";"0,802";"0,415";"0,562";"492,26";"999,6"
"MARIO QUINTANA";8;29066;16;37234;"0,524";"0,643";"0,727";"0,783";"0,337";"0,518";"394,11";"856,8"
"MEDIANEIRA";18;10663;63;9903;"0,827";"0,879";"0,862";"0,915";"0,775";"0,824";"1676,1";"2728,5"
"MENINO DEUS";113;30792;228;31650;"0,892";"0,924";"0,881";"0,928";"0,868";"0,884";"2391,84";"4452,3"
"MOINHOS DE VENTO";64;8067;200;7264;"0,921";"0,945";"0,89";"0,945";"0,89";"0,907";"4478,66";"8180,4"
"MONT SERRAT";13;10236;57;11236;"0,903";"0,958";"0,888";"0,944";"0,87";"0,932";"3679,87";"6375"
"MORRO SANTANA";30;19236;55;18852;"0,702";"0,776";"0,819";"0,871";"0,584";"0,692";"996,6";"1739,1"
"NAVEGANTES";51;4160;163;4011;"0,738";"0,801";"0,844";"0,888";"0,616";"0,722";"1111,36";"1800,3"
"NONOAI";32;21826;59;20296;"0,744";"0,807";"0,831";"0,881";"0,641";"0,734";"1414,87";"2606,1"
"PARTENON";74;47750;221;45707;"0,74";"0,815";"0,832";"0,885";"0,633";"0,746";"1230,65";"2111,4"
"PASSO DA AREIA";61;20385;147;21364;"0,83";"0,874";"0,859";"0,916";"0,794";"0,824";"1426,95";"2896,8"
"PASSO DAS PEDRAS";25;24549;37;25896;"0,599";"0,688";"0,762";"0,814";"0,441";"0,572";"916,57";"1728,9"
"PEDRA REDONDA";11;316;14;274;NA;NA;NA;NA;NA;NA;NA;NA
"PETROPOLIS";61;34593;173;38155;"0,911";"0,95";"0,887";"0,936";"0,882";"0,926";"3071,34";"5451,9"
"PONTA GROSSA";1;3290;6;4213;"0,684";"0,747";"0,813";"0,851";"0,554";"0,655";"848,62";"1479"
"PRAIA DE BELAS";20;1869;58;2117;"0,919";"0,865";"0,889";"0,898";"0,908";"0,8";"1922,23";"3656,7"
"RESTINGA";33;54993;56;60729;"0,553";"0,661";"0,749";"0,799";"0,36";"0,53";"537,56";"1071"
"RIO BRANCO";43;16132;123;17531;"0,92";"0,955";"0,891";"0,946";"0,9";"0,923";"3198,18";"6104,7"
"RUBEM BERTA";78;68286;120;74522;"0,667";"0,753";"0,794";"0,843";"0,539";"0,684";"907,51";"1550,4"
"SANTA CECILIA";23;5800;46;5768;"0,863";"0,94";"0,878";"0,932";"0,803";"0,908";"2227,25";"3870,9"
"SANTA MARIA GORETTI";20;3922;62;3320;"0,807";"0,849";"0,85";"0,911";"0,766";"0,792";"1330,31";"2249,1"
"SANTA TEREZA";25;59412;52;55505;"0,649";"0,738";"0,79";"0,842";"0,493";"0,628";"976,97";"1774,8"
"SANTANA";76;25028;212;24638;"0,878";"0,911";"0,877";"0,924";"0,841";"0,873";"2117,02";"3621"
"SANTO ANTONIO";20;15003;47;13714;"0,835";"0,888";"0,859";"0,915";"0,809";"0,871";"1673,08";"2667,3"
"SAO GERALDO";99;9135;274;8706;"0,796";"0,853";"0,85";"0,913";"0,724";"0,789";"1281,99";"2198,1"
"SAO JOAO";65;18855;149;14544;"0,837";"0,9";"0,868";"0,923";"0,781";"0,847";"1609,66";"3376,2"
"SAO JOSE";31;30406;50;30073;"0,602";"0,706";"0,772";"0,822";"0,433";"0,599";"607,02";"1132,2"
"SAO SEBASTIAO";25;6961;64;10164;"0,794";"0,887";"0,859";"0,918";"0,715";"0,83";"1547,75";"2162,4"
"SARANDI";189;90120;389;91366;"0,675";"0,758";"0,813";"0,858";"0,534";"0,664";"665,91";"1346,4"
"SERRARIA";1;4682;3;4500;"0,601";"0,698";"0,769";"0,814";"0,432";"0,597";"412,23";"785,4"
"TERESOPOLIS";29;9837;51;12766;"0,807";"0,842";"0,86";"0,896";"0,746";"0,781";"1867,87";"2942,7"
"TRES FIGUEIRAS";13;3657;41;4070;"0,924";"0,958";"0,898";"0,952";"0,879";"0,924";"5799,91";"9011,7"
"TRISTEZA";49;14837;130;15396;"0,854";"0,916";"0,876";"0,927";"0,792";"0,868";"2550,39";"4814,4"
