bairro;2000;2010
Agronomia;12.431;13817
Anchieta;1.281;582
Arquipélago;7.619;8330
Auxiliadora;9.985;9683
Azenha;10.475;10180
Bela Vista;10.097;11128
Belém Novo;13.787;15833
Belém Velho;8.455;10835
Boa Vista;9.368;8750
Bom Fim;9.368;9450
Bom Jesus;31.215;28738
Camaquã;22.009;19313
Campo Novo;7.404;6962
Cascata;27.301;22596
Cavalhada;15.403;13425
Cel. Aparí­cio Borges;14.992;17494
Centro Histórico;36.893;39154
Chácara das Pedras;5.924;6668
Chapéu do Sol;2.620;2300
Cidade Baixa;18.146;18450
Cristal;29.943;27661
Cristo Redentor;15.505;15801
Espí­rito Santo;5.734;5606
Farrapos;17.083;18986
Farroupilha;1.101;961
Floresta;15.493;16085
Glória;8.631;8855
Guarujá;4.390;5971
Higienópolis;9.096;10724
Hípica;11.786;20237
Humaitá;10.293;11404
Independência;11.327;10828
Ipanema;20.884;22726
Jardim Botânico;11.494;12521
Jardim Carvalho;25.076;25323
Jardim do Salso;3.715;4405
Jardim Floresta;4.078;3499
Jardim Isabel;...;2835
Jardim Itu;7.569;8325
Jardim Lindóia;7.932;8071
Jardim Sabará;14.785;13471
Jardim São Pedro;5.510;5290
Lageado;6.476;7885
Lami;3.493;4642
Lomba do Pinheiro;42.653;48498
Mário Quintana;29.066;37234
Medianeira;10.663;9903
Menino Deus;30.792;31650
Moinhos de Vento;8.067;7264
Mont 'Serrat;10.236;11236
Morro Santana;19.236;18852
Navegantes;4.160;4011
Nonoai;21.826;20296
Partenon;47.750;45707
Passo D'Areia;20.385;21364
Passo das Pedras;24.549;25896
Pedra Redonda;316;274
Petrópolis;34.593;38155
Ponta Grossa;3.290;4213
Praia de Belas;1.869;2117
Restinga;54.993;60729
Rio Branco;16.132;17531
Rubem Berta;68.286;74522
Santa Cecí­lia;5.800;5768
Santa Maria Goretti;3.922;3320
Santa Tereza;59.412;55505
Santana;25.028;24638
Santo Antônio;15.003;13714
São Geraldo;9.135;8706
São João;18.855;14544
São José;30.406;30073
São Sebastião;6.961;10164
Sarandi;90.120;91366
Serraria;4.682;4500
Teresópolis;9.837;12766
Três Figueiras;3.657;4070
Tristeza;14.837;15396
Vila Assunção;4.096;4418
Vila Conceição;1.467;1349
Vila Ipiranga;20.951;20958
Vila Jardim;15.361;12782
Vila João Pessoa;12.641;11935
Vila Nova;33.390;38127
