bairro;2000;2010;diferença
AGRONOMIA;12431;13817;1386
ANCHIETA;1281;582;-699
ARQUIPELAGO;7619;8330;711
AUXILIADORA;9985;9683;-302
AZENHA;10475;10180;-295
BELA VISTA;10097;11128;1031
BELEM NOVO;13787;15833;2046
BELEM VELHO;8455;10835;2380
BOA VISTA;9368;8750;-618
BOM FIM;9368;9450;82
BOM JESUS;31215;28738;-2477
CAMAQUA;22009;19313;-2696
CAMPO NOVO;7404;6962;-442
CASCATA;27301;22596;-4705
CAVALHADA;15403;13425;-1978
CEL APARICIO BORGES;14992;17494;2502
CENTRO HISTORICO;36893;39154;2261
CHACARA DAS PEDRAS;5924;6668;744
CHAPEU DO SOL;2620;2300;-320
CIDADE BAIXA;18146;18450;304
CRISTAL;29943;27661;-2282
CRISTO REDENTOR;15505;15801;296
ESPIRITO SANTO;5734;5606;-128
FARRAPOS;17083;18986;1903
FARROUPILHA;1101;961;-140
FLORESTA;15493;16085;592
GLORIA;8631;8855;224
GUARUJA;4390;5971;1581
HIGIENOPOLIS;9096;10724;1628
HIPICA;11786;20237;8451
HUMAITA;10293;11404;1111
INDEPENDENCIA;11327;10828;-499
IPANEMA;20884;22726;1842
JARDIM BOTANICO;11494;12521;1027
JARDIM CARVALHO;25076;25323;247
JARDIM DO SALSO;3715;4405;690
JARDIM FLORESTA;4078;3499;-579
JARDIM ISABEL;0;2835;2835
JARDIM ITU;7569;8325;756
JARDIM LINDOIA;7932;8071;139
JARDIM SABARA;14785;13471;-1314
JARDIM SAO PEDRO;5510;5290;-220
LAGEADO;6476;7885;1409
LAMI;3493;4642;1149
LOMBA DO PINHEIRO;42653;48498;5845
MARIO QUINTANA;29066;37234;8168
MEDIANEIRA;10663;9903;-760
MENINO DEUS;30792;31650;858
MOINHOS DE VENTO;8067;7264;-803
MONT SERRAT;10236;11236;1000
MORRO SANTANA;19236;18852;-384
NAVEGANTES;4160;4011;-149
NONOAI;21826;20296;-1530
PARTENON;47750;45707;-2043
PASSO DA AREIA;20385;21364;979
PASSO DAS PEDRAS;24549;25896;1347
PEDRA REDONDA;316;274;-42
PETROPOLIS;34593;38155;3562
PONTA GROSSA;3290;4213;923
PRAIA DE BELAS;1869;2117;248
RESTINGA;54993;60729;5736
RIO BRANCO;16132;17531;1399
RUBEM BERTA;68286;74522;6236
SANTA CECILIA;5800;5768;-32
SANTA MARIA GORETTI;3922;3320;-602
SANTA TEREZA;59412;55505;-3907
SANTANA;25028;24638;-390
SANTO ANTONIO;15003;13714;-1289
SAO GERALDO;9135;8706;-429
SAO JOAO;18855;14544;-4311
SAO JOSE;30406;30073;-333
SAO SEBASTIAO;6961;10164;3203
SARANDI;90120;91366;1246
SERRARIA;4682;4500;-182
TERESOPOLIS;9837;12766;2929
TRES FIGUEIRAS;3657;4070;413
TRISTEZA;14837;15396;559
VILA ASSUNCAO;4096;4418;322
VILA CONCEICAO;1467;1349;-118
VILA IPIRANGA;20951;20958;7
VILA JARDIM;15361;12782;-2579
VILA JOAO PESSOA;12641;11935;-706
VILA NOVA;33390;38127;4737
